,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
957,"Pate, canned, chicken liver",100,201,13,4,391,724,217,8.07,0.26,10,0.98,0.98,0,6.55,0,0,13.1
958,"BURGER KING, Chicken Strips",100,292,15,2.7,44,11,3,0.15,0.402,1.1,3.93,3.93,6.3,20.49,1.3,0,15.25
959,"Pork, raw, salt pork, cured",100,748,81,29,86,0,0,0.29,0.08,0,0,0,0,0,0,0,80.5
960,"Cereals ready-to-eat, ALPEN",100,352,3.3,0.5,0,0,0,0.12,0.28,8.7,0.51,0.51,2.5,75.7,9.1,20,3.3
961,"Light ice cream, Creamsicle",100,165,3.1,1.8,8,324,93,0.36,0.038,13.8,0.09,0.09,0.3,32.75,0,18.46,3.08
962,"Toppings, marshmallow cream",100,322,0.3,0.1,0,1,0,0,0.002,0,0,0,0,79,0.1,46.8,0.3
963,"Fish, raw, Pacific, herring",100,195,14,3.3,77,106,32,10,0.45,0,0,0,0,0,0,0,13.88
964,"Sandwich spread, beef, pork",100,235,17,6,38,87,26,1.12,0.12,0,1.74,1.74,1.6,11.94,0.2,0,17.34
965,"Nuts, hazelnuts or filberts",100,628,61,4.5,0,20,1,0,0.563,6.3,15.03,15.03,14.2,16.7,9.7,4.34,60.75
966,"Babyfood, teething biscuits",100,392,4.2,1.2,7,116,28,0.07,0.111,9.1,1.1,1.1,0.5,76.4,1.4,12.65,4.2
967,"PACE, Organic Picante Sauce",100,25,0,,0,625,0,0,0,0,0,0,0,6.25,3.1,6.25,0
968,"Peppers, raw, yellow, sweet",100,27,0.2,,0,200,10,0,0.168,183.5,0,0,0,6.32,0.9,0,0.21
969,"Fish, raw, florida, pompano",100,164,9.5,3.5,50,132,40,1.3,0.2,0,0.18,0.18,0.1,0,0,0,9.47
970,"Potato salad, home-prepared",100,143,8.2,1.4,68,157,32,0,0.141,10,0,0,0,11.17,1.3,0,8.2
971,"GIRL SCOUTS, Chalet Cookies",100,478,19,6.4,0,0,0,0,0.02,0,0,0,0,72.3,1.5,35.4,19.1
972,"GIRL SCOUTS, Samoas Cookies",100,489,26,18,2,0,0,0,0.05,0,0,0,0,64.1,4.4,35.8,25.8
973,"Cheese, semisoft type, goat",100,364,30,21,79,1464,407,0.22,0.06,0,0.26,0.26,2.5,0.12,0,0.12,29.84
974,"Game meat, raw, ground, elk",100,172,8.8,3.5,66,0,0,2.13,0.336,0,0.28,0.28,0,0,0,0,8.82
975,"Candies, unsweetened, carob",100,540,31,29,1,10,1,0.28,0.13,0.5,1.57,1.57,7.7,56.29,3.8,34.11,31.36
976,"Babyfood, toddler, potatoes",100,52,0.1,,0,0,0,0,0.07,10.5,0.02,0.02,0.2,11.73,0.9,0.91,0.1
977,"Veal, cooked, seam fat only",100,505,50,16,82,0,0,1.62,0.203,0,0.52,0.52,2.4,2.11,0,0,50.17
978,"Sauce, ready-to-serve, duck",100,245,0.1,0.1,0,168,8,0,0.032,0.9,0.2,0.2,0.3,60.61,0.6,30.54,0.13
979,"Corn dogs, prepared, frozen",100,250,12,3.5,44,166,48,0.48,0.117,0.5,0.6,0.6,5.8,26.96,1,7.54,12.02
980,"Seeds, paste, sesame butter",100,586,51,7.1,0,50,3,0,0.816,0,0,0,0,24.05,5.5,0,50.87
981,"Noodles, enriched, dry, egg",100,384,4.4,1.2,84,62,17,0.29,0.216,0,0.37,0.37,0.5,71.27,3.3,1.88,4.44
982,"Persimmons, dried, japanese",100,274,0.6,,0,767,38,0,0,0,0,0,0,73.43,14.5,0,0.59
983,"Carrots, unprepared, frozen",100,36,0.5,,0,14210,710,0,0.095,2.5,0.57,0.57,17.6,7.9,3.3,4.76,0.46
984,"Carambola, raw, (starfruit)",100,31,0.3,,0,61,3,0,0.017,34.4,0.15,0.15,0,6.73,2.8,3.98,0.33
985,"Fast foods, chicken tenders",100,271,14,2.5,48,11,3,0.16,0.426,1.1,3.17,3.17,8,17.25,1.2,0.4,13.95
986,"Beans, home prepared, baked",100,155,5.2,1.9,5,0,0,0,0.09,1.1,0,0,0,21.63,5.5,0,5.15
987,"Cream, half and half, fluid",100,123,10,7,35,354,97,0.19,0.05,0.9,0.25,0.25,1.3,4.73,0,4.13,10.39
988,"SILK Light Vanilla, soymilk",100,33,0.8,,0,206,0,1.23,0,0,0,0,0,4.12,0.4,2.88,0.82
989,"Turnips, unprepared, frozen",100,16,0.2,,0,26,1,0,0.048,4.4,0,0,0,2.94,1.8,0,0.16
990,"PACE, Cilantro Chunky Salsa",100,25,0,,0,313,0,0,0,0,0,0,0,6.25,3.1,6.25,0
991,"PACE, Chipotle Chunky Salsa",100,25,0,,0,625,0,0,0,0,0,0,0,6.25,3.1,6.25,0
992,"Jams and preserves, apricot",100,242,0.2,,0,205,10,0,0.02,8.8,0.13,0.13,0,64.4,0.3,43.4,0.2
993,"Butter, with salt, whipped",100,718,78,45,225,2468,683,0.07,0.008,0,1.37,1.37,4.6,2.87,0,0.06,78.3
